Method,Dimensions,Accuracy,F1-Score,Train Time (s),Speedup
Baseline (None),122,0.7750177430801988,0.7610702845298662,1.7436468601226807,1.0
PCA-5,5,0.7381121362668559,0.7173226084458489,1.2872233390808105,1.354579898596149
PCA-10,10,0.7381121362668559,0.7204280708400417,1.0378565788269043,1.6800460638728478
PCA-20,20,0.7698278921220724,0.7623104759287253,0.5195310115814209,3.3561939927611353
PCA-21,21,0.7711142654364798,0.7632810349573356,0.633735179901123,2.7513808849853163
SVD-5,5,0.7388218594748048,0.718546845124283,0.43874621391296387,3.9741581917526836
SVD-10,10,0.7374911284599006,0.7187796996768675,0.4393308162689209,3.9688699165946253
SVD-20,20,0.7581618168914124,0.7471946582583696,0.5686311721801758,3.0663933766370985
SVD-21,21,0.7692068843151171,0.7615162487968098,0.5441708564758301,3.204226833121716
LDA-4,4,0.7611781405251952,0.7503709198813057,0.284482479095459,6.12918892462827
